=== t18_belief_cut  35 mm  4.0 s  96 frames at 24 fps  482482 returns ===
    machine: hero surveyor/default skin=player wear=0.35 dmg=0.00 clip=walk
  frame     t_s      x       y       z    step_mm   focus_m   belief_t
     75   3.158   56.63    0.22   23.94       2.6     1.90      0.62
     76   3.200   56.64    0.22   23.94       2.4     1.90      0.62
     77   3.242   56.64    0.22   23.94       2.2     1.90      0.62
     78   3.284   56.64    0.22   23.94       2.1     1.90      0.62
     79   3.326   56.64    0.22   23.94       1.9     1.90      0.62
     80   3.368   56.64    0.22   23.95       1.7     1.90      0.62
     81   3.411   56.64    0.22   23.95       1.5     1.90      0.62
     82   3.453   56.64    0.22   23.95       1.3     1.90      0.62
     83   3.495   56.65    0.22   23.95       1.2     1.90      0.62
     84   3.537   56.65    0.22   23.95       1.0     1.90      0.62
     85   3.579   56.65    0.22   23.95       0.9     1.90      0.62
     86   3.621   56.65    0.22   23.95       0.7     1.90      0.62
     87   3.663   56.65    0.22   23.95       0.6     1.90      0.62
     88   3.705   56.65    0.22   23.95       0.5     1.90      0.62
     89   3.747   56.65    0.22   23.95       0.4     1.90      0.62
     90   3.789   56.65    0.22   23.95       0.3     1.90      0.62
     91   3.832   56.65    0.22   23.95       0.2     1.90      0.62
     92   3.874   56.65    0.22   23.95       0.1     1.90      0.62
     93   3.916   56.65    0.22   23.95       0.1     1.90      0.62
     94   3.958   56.65    0.22   23.95       0.1     1.90      0.62
     95   4.000   56.65    0.22   23.95       0.1     1.90      0.62
    96 frames in 13.5 s = 0.14 s/frame

=== t21_two_registers  21 mm  4.0 s  96 frames at 24 fps  1116236 returns ===
    machine: no machine block -- the project's default placement
  frame     t_s      x       y       z    step_mm   focus_m   belief_t
      0   0.000   46.20    1.43   23.00       0.0     8.00     16.50
      1   0.042   46.20    1.43   23.00       0.0     8.00     16.54
      2   0.084   46.20    1.43   23.00       0.1     8.00     16.58
      3   0.126   46.20    1.43   23.00       0.2     8.00     16.63
      4   0.168   46.20    1.43   23.00       0.3     8.00     16.67
      5   0.211   46.20    1.43   23.00       0.5     8.00     16.71
      6   0.253   46.20    1.43   23.00       0.7     8.00     16.75
      7   0.295   46.20    1.43   23.00       1.0     8.00     16.79
      8   0.337   46.20    1.43   23.00       1.3     8.00     16.84
      9   0.379   46.20    1.43   23.01       1.6     8.00     16.88
     10   0.421   46.20    1.43   23.01       2.0     8.00     16.92
     11   0.463   46.20    1.43   23.01       2.3     8.00     16.96
     12   0.505   46.20    1.43   23.01       2.7     8.00     17.01
     13   0.547   46.21    1.43   23.01       3.1     8.00     17.05
     14   0.589   46.21    1.43   23.02       3.6     8.00     17.09
     15   0.632   46.21    1.43   23.02       4.0     8.00     17.13
     16   0.674   46.21    1.43   23.03       4.5     8.00     17.17
     17   0.716   46.21    1.43   23.03       5.0     8.00     17.22
     18   0.758   46.22    1.43   23.04       5.4     8.00     17.26
     19   0.800   46.22    1.43   23.04       5.9     8.00     17.30
     20   0.842   46.22    1.43   23.05       6.4     8.00     17.34
     21   0.884   46.22    1.43   23.05       6.9     8.00     17.38
     22   0.926   46.23    1.43   23.06       7.4     8.00     17.43
     23   0.968   46.23    1.43   23.07       7.9     8.00     17.47
     24   1.011   46.23    1.43   23.07       8.3     8.00     17.51
     25   1.053   46.24    1.43   23.08       8.8     8.00     17.55
     26   1.095   46.24    1.43   23.09       9.3     8.00     17.59
     27   1.137   46.24    1.43   23.10       9.7     8.00     17.64
     28   1.179   46.25    1.43   23.11      10.2     8.00     17.68
     29   1.221   46.25    1.43   23.12      10.6     8.00     17.72
     30   1.263   46.26    1.43   23.13      11.0     8.00     17.76
     31   1.305   46.26    1.43   23.14      11.4     8.00     17.81
     32   1.347   46.26    1.43   23.15      11.8     8.00     17.85
     33   1.389   46.27    1.43   23.16      12.2     8.00     17.89
     34   1.432   46.27    1.43   23.17      12.5     8.00     17.93
     35   1.474   46.28    1.42   23.19      12.9     8.00     17.97
     36   1.516   46.28    1.42   23.20      13.2     8.00     18.02
     37   1.558   46.29    1.42   23.21      13.5     8.00     18.06
     38   1.600   46.30    1.42   23.22      13.7     8.00     18.10
     39   1.642   46.30    1.42   23.24      14.0     8.00     18.14
     40   1.684   46.31    1.42   23.25      14.2     8.00     18.18
     41   1.726   46.31    1.42   23.26      14.4     8.00     18.23
     42   1.768   46.32    1.42   23.27      14.6     8.00     18.27
     43   1.811   46.32    1.42   23.29      14.7     8.00     18.31
     44   1.853   46.33    1.42   23.30      14.8     8.00     18.35
     45   1.895   46.34    1.42   23.32      14.9     8.00     18.39
     46   1.937   46.34    1.42   23.33      15.0     8.00     18.44
     47   1.979   46.35    1.42   23.34      15.0     8.00     18.48
     48   2.021   46.35    1.42   23.36      15.0     8.00     18.52
     49   2.063   46.36    1.42   23.37      15.0     8.00     18.56
     50   2.105   46.36    1.42   23.38      15.0     8.00     18.61
     51   2.147   46.37    1.42   23.40      14.9     8.00     18.65
     52   2.189   46.38    1.42   23.41      14.8     8.00     18.69
     53   2.232   46.38    1.42   23.43      14.7     8.00     18.73
     54   2.274   46.39    1.42   23.44      14.6     8.00     18.77
     55   2.316   46.39    1.41   23.45      14.4     8.00     18.82
     56   2.358   46.40    1.41   23.46      14.2     8.00     18.86
     57   2.400   46.40    1.41   23.48      14.0     8.00     18.90
     58   2.442   46.41    1.41   23.49      13.7     8.00     18.94
     59   2.484   46.42    1.41   23.50      13.5     8.00     18.98
     60   2.526   46.42    1.41   23.51      13.2     8.00     19.03
     61   2.568   46.43    1.41   23.53      12.9     8.00     19.07
     62   2.611   46.43    1.41   23.54      12.5     8.00     19.11
     63   2.653   46.44    1.41   23.55      12.2     8.00     19.15
     64   2.695   46.44    1.41   23.56      11.8     8.00     19.19
     65   2.737   46.44    1.41   23.57      11.4     8.00     19.24
     66   2.779   46.45    1.41   23.58      11.0     8.00     19.28
     67   2.821   46.45    1.41   23.59      10.6     8.00     19.32
     68   2.863   46.46    1.41   23.60      10.2     8.00     19.36
     69   2.905   46.46    1.41   23.61       9.7     8.00     19.41
     70   2.947   46.46    1.41   23.62       9.3     8.00     19.45
     71   2.989   46.47    1.41   23.63       8.8     8.00     19.49
     72   3.032   46.47    1.41   23.63       8.3     8.00     19.53
     73   3.074   46.47    1.41   23.64       7.9     8.00     19.57
     74   3.116   46.48    1.41   23.65       7.4     8.00     19.62
     75   3.158   46.48    1.41   23.65       6.9     8.00     19.66
     76   3.200   46.48    1.41   23.66       6.4     8.00     19.70
